id_departamento,departamento,id_municipio,municipio,id_localidad,localidad,año_servicio,mes_servicio,energia_activa,energia_reactiva,potencia_maxima,dia_demanda_maxima,fecha_demanda_maxima,promedio_diario_horas
52,NARIÑO,52250,EL CHARCO,52250005,LAS MERCEDES (EL CHARCO - NARIÑO),2024,10,921.0,518.0,60.0,sábado,2024 Oct 12 07:45:00 PM,24.0
52,NARIÑO,52250,EL CHARCO,52250007,SAN JOSE DEL TAPAJE (EL CHARCO - NARIÑO),2024,10,9.108,1.826,88.0,martes,2024 Oct 01 07:45:00 PM,24.0
52,NARIÑO,52390,LA TOLA,52390005,AGUACATAL (LA TOLA - NARIÑO),2024,10,2.708,565.0,60.0,lunes,2024 Oct 07 01:45:00 PM,24.0
52,NARIÑO,52390,LA TOLA,52390013,AMARALES (LA TOLA - NARIÑO),2024,10,6.959,3.223,60.0,jueves,2024 Oct 10 07:30:00 PM,24.0
52,NARIÑO,52390,LA TOLA,52390003,LA VIGIA DE LA MAR (LA TOLA - NARIÑO),2024,10,4.738,2.344,60.0,viernes,2024 Oct 18 07:45:00 PM,24.0
52,NARIÑO,52390,LA TOLA,52390009,MULATOS (LA TOLA - NARIÑO),2024,10,887.0,562.0,60.0,jueves,2024 Oct 03 04:00:00 PM,24.0
52,NARIÑO,52390,LA TOLA,52390016,SAN PABLO DEL MAR (LA TOLA - NARIÑO),2024,10,6.188,2.133,60.0,martes,2024 Oct 08 07:15:00 PM,24.0
52,NARIÑO,52473,MOSQUERA,52473010,EL BAJITO DE ECHANDIA (MOSQUERA - NARIÑO),2024,10,3.162,1.164,60.0,martes,2024 Oct 22 11:45:00 AM,24.0
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835055,BOCAS DE CURAY (SAN ANDRÉS DE TUMACO - NARIÑO),2024,10,5.585,1.99,60.0,martes,2024 Oct 01 06:00:00 PM,24.0
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835217,SAN JUAN DE LA COSTA (SAN ANDRÉS DE TUMACO - NARIÑO),2024,10,22.891,9.017,60.0,lunes,2024 Oct 28 06:45:00 PM,24.0
52,NARIÑO,52696,SANTA BÁRBARA,52696014,LA ENSENADA (SANTA BÁRBARA - NARIÑO),2024,10,3.437,1.564,20.0,martes,2024 Oct 01 07:45:00 PM,7.0
86,PUTUMAYO,86573,PUERTO LEGUIZAMO,86573009,PIÑUÑA NEGRO (PUERTO LEGUIZAMO - PUTUMAYO),2024,10,2.81,1.795,60.0,sábado,2024 Oct 26 06:30:00 PM,24.0
86,PUTUMAYO,86573,PUERTO LEGUIZAMO,86573000,PUERTO LEGUIZAMO (PUERTO LEGUIZAMO - PUTUMAYO),2024,10,898.093,256.776,60.0,jueves,2024 Oct 17 01:45:00 PM,24.0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109957,HUMANES MAR (BUENAVENTURA - VALLE DEL CAUCA),2024,10,6.391,1.226,60.0,sábado,2024 Oct 26 11:15:00 AM,24.0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109069,PAPAYAL 1 (BUENAVENTURA - VALLE DEL CAUCA),2024,10,6.167,1.463,60.0,sábado,2024 Oct 26 12:30:00 PM,24.0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109028,PUERTO MERIZALDE (BUENAVENTURA - VALLE DEL CAUCA),2024,10,105.789,36.701,60.0,sábado,2024 Oct 19 07:45:00 PM,24.0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109081,PUNTA BONITA (BUENAVENTURA - VALLE DEL CAUCA),2024,10,4.127,4.261,60.0,sábado,2024 Oct 12 01:45:00 PM,24.0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109032,SAN FRANCISCO NAYA (BUENAVENTURA - VALLE DEL CAUCA),2024,10,5.979,2.432,60.0,domingo,2024 Oct 27 11:45:00 AM,24.0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109034,SAN ISIDRO - CALIMA (BUENAVENTURA - VALLE DEL CAUCA),2024,10,5.506,1.053,60.0,martes,2024 Oct 08 07:00:00 PM,24.0
97,VAUPÉS,97161,CARURÚ,97161000,CARURÚ (CARURÚ - VAUPÉS),2024,10,36.55,7.807,60.0,jueves,2024 Oct 17 07:00:00 PM,24.0
97,VAUPÉS,97001,MITÚ,97001000,MITÚ (MITÚ - VAUPÉS),2024,10,10.326,402.973,60.0,lunes,2024 Oct 21 01:30:00 PM,24.0
97,VAUPÉS,97666,TARAIRA,97666000,TARAIRA (TARAIRA - VAUPÉS),2024,10,48.031,13.01,60.0,lunes,2024 Oct 07 12:30:00 PM,24.0
